"pincode","city","state_code","cod","prepaid","pickup","zone"
"124410","ROHTAK","Haryana","Y","Y","N","Z4"
"124411","Rohtak","Haryana","Y","Y","Y","Z4"
"124412","Rohtak","Haryana","Y","Y","Y","Z4"
"124416","Rohtak","Haryana","Y","Y","Y","Z4"
"124500","Bahadurgarh","","Y","Y","N","Z4"
"124501","Sonipat","Haryana","Y","Y","Y","Z4"
"124502","BAHADURGARH","Haryana","N","N","Y","Z4"
"124504","Jhajjar","Haryana","Y","Y","Y","Z4"
"124505","Bahadurgarh","Haryana","Y","Y","Y","Z4"
"124506","Bahadurgarh","Haryana","Y","Y","Y","Z4"
"124507","Bahadurgarh","Haryana","Y","Y","Y","Z4"
"124508","Bahadurgarh","Haryana","Y","Y","Y","Z4"
"124509","BAHADURGARH","Haryana","N","N","Y","Z4"
"124512","Bahadurgarh","Haryana","Y","Y","Y","Z4"
"124513","Meham","Haryana","Y","Y","Y","Z4"
"124514","Meham","Haryana","Y","Y","Y","Z4"
"124516","MAHAM","Haryana","Y","Y","N","Z4"
"124517","Rohtak","Haryana","Y","Y","Y","Z4"
"124524","JULANA","HARYANA","N","Y","N","Z4"
"124599","Delhi","","Y","Y","N","Z4"
"125000","HISSAR","Haryana","N","Y","N","Z4"
"125001","HISSAR","HARYANA","Y","Y","Y","Z4"
"125002","Hisar","Haryana","Y","Y","Y","Z4"
"125003","Hisar","Haryana","Y","Y","Y","Z4"
"125004","Hisar","Haryana","Y","Y","Y","Z4"
"125005","Hissar","Haryana","Y","Y","Y","Z4"
"125006","Hissar","Haryana","Y","Y","Y","Z4"
"125007","Hisar","Haryana","Y","Y","Y","Z4"
"125008","Hisar","Haryana","N","Y","N","Z4"
"125009","HISSAR","HARYANA","N","Y","N","Z4"
"125011","Hisar","Haryana","Y","Y","Y","Z4"
"125012","Hisar","Haryana","Y","Y","N","Z4"
"125021","BHIWANI","HARYANA","Y","Y","Y","Z4"
"125030","HISSAR","HARYANA","N","Y","N","Z4"
"125031","Hansi","Haryana","Y","Y","N","Z4"
"125032","HISSAR","HARYANA","N","Y","N","Z4"
"125033","Hansi","Haryana","Y","Y","Y","Z4"
"125034","Hansi","HARYANA","Y","Y","Y","Z4"
"125035","HANSI","Haryana","N","Y","N","Z4"
"125036","Hansi","Haryana","N","Y","N","Z4"
"125037","Hansi","Haryana","Y","Y","Y","Z4"
"125038","Jind","Haryana","Y","Y","Y","Z4"
"125039","Jind","Haryana","Y","Y","Y","Z4"
"125040","HISSAR","HARYANA","N","Y","N","Z4"
"125041","Meham","Haryana","Y","Y","Y","Z4"
"125042","Meham","Haryana","Y","Y","Y","Z4"
"125043","Bhuna","Haryana","N","Y","N","Z4"
"125044","HISSAR","HARYANA","Y","Y","Y","Z4"
"125045","HISSAR","HARYANA","N","Y","N","Z4"
"125046","Fatehabad","Haryana","N","Y","N","Z4"
"125047","HISSAR","HARYANA","Y","Y","Y","Z4"
"125048","Fatehabad","Haryana","Y","Y","Y","Z4"
"125049","Hansi","Haryana","Y","Y","Y","Z4"
"125050","Fatehabad","Haryana","Y","Y","Y","Z4"
"125051","Adampur","Haryana","Y","Y","Y","Z4"
"125052","Mandi Adampur","Haryana","Y","Y","Y","Z4"
"125053","Fatehabad","Haryana","Y","Y","Y","Z4"
"125054","Sirsa","Haryana","Y","Y","Y","Z4"
"125055","Sirsa","Haryana","Y","Y","Y","Z4"
"125056","Sirsa","Haryana","Y","Y","Y","Z4"
"125057","Sirsa","Haryana","Y","Y","Y","Z4"
"125058","Fatehabad","Haryana","Y","Y","Y","Z4"
"125060","Sirsa","Haryana","Y","Y","Y","Z4"
"125061","SIRSA","Haryana","Y","Y","N","Z4"
"125062","SIRSA","Haryana","Y","Y","N","Z4"
"125075","Sirsa","Haryana","Y","Y","Y","Z4"
"125076","Sirsa","Haryana","Y","Y","Y","Z4"
"125077","Sirsa","Haryana","Y","Y","Y","Z4"
"125078","Sirsa","Haryana","Y","Y","Y","Z4"
"125087","HISSAR","HARYANA","N","Y","N","Z4"
"125101","Sangaria","Rajasthan","Y","Y","Y","Z4"
"125102","Ellenabad","Haryana","Y","Y","Y","Z4"
"125103","Sirsa","Haryana","Y","Y","Y","Z4"
